Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Midmarket,United States of America, Montana , None ,615, $5.00 , $15.00 ," $9,225.00 "," $9,225.00 "," $6,150.00 ","3,075.00",01-12-2014,12, December ,2014
Government,Canada, Paseo , None ,292, $10.00 , $20.00 ," $5,840.00 "," $5,840.00 "," $2,920.00 ","2,920.00",01-02-2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,974, $10.00 , $15.00 ," $14,610.00 "," $14,610.00 "," $9,740.00 ","4,870.00",01-02-2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,2518, $10.00 , $12.00 ," $30,216.00 "," $30,216.00 "," $7,554.00 ","22,662.00",01-06-2014,6, June ,2014
Government,Germany, Paseo , None ,1006, $10.00 , $350.00 ," $3,52,100.00 "," $3,52,100.00 "," $2,61,560.00 ","90,540.00",01-06-2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,367, $10.00 , $12.00 ," $4,404.00 "," $4,404.00 "," $1,101.00 ","3,303.00",01-07-2014,7, July ,2014
Government,Mexico, Paseo , None ,883, $10.00 , $7.00 ," $6,181.00 "," $6,181.00 "," $4,415.00 ","1,766.00",01-08-2014,8, August ,2014
Midmarket,France, Paseo , None ,549, $10.00 , $15.00 ," $8,235.00 "," $8,235.00 "," $5,490.00 ","2,745.00",01-09-2013,9, September ,2013
Small Business,Mexico, Paseo , None ,788, $10.00 , $300.00 ," $2,36,400.00 "," $2,36,400.00 "," $1,97,000.00 ","39,400.00",01-09-2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,2472, $10.00 , $15.00 ," $37,080.00 "," $37,080.00 "," $24,720.00 ","12,360.00",01-09-2014,9, September ,2014
Government,United States of America, Paseo , None ,1143, $10.00 , $7.00 ," $8,001.00 "," $8,001.00 "," $5,715.00 ","2,286.00",01-10-2014,10, October ,2014
Government,Canada, Paseo , None ,1725, $10.00 , $350.00 ," $6,03,750.00 "," $6,03,750.00 "," $4,48,500.00 ","1,55,250.00",01-11-2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,912, $10.00 , $12.00 ," $10,944.00 "," $10,944.00 "," $2,736.00 ","8,208.00",01-11-2013,11, November ,2013
Midmarket,Canada, Paseo , None ,2152, $10.00 , $15.00 ," $32,280.00 "," $32,280.00 "," $21,520.00 ","10,760.00",01-12-2013,12, December ,2013
Government,Canada, Paseo , None ,1817, $10.00 , $20.00 ," $36,340.00 "," $36,340.00 "," $18,170.00 ","18,170.00",01-12-2014,12, December ,2014
Government,Germany, Paseo , None ,1513, $10.00 , $350.00 ," $5,29,550.00 "," $5,29,550.00 "," $3,93,380.00 ","1,36,170.00",01-12-2014,12, December ,2014
Government,Mexico, Velo , None ,1493, $120.00 , $7.00 ," $10,451.00 "," $10,451.00 "," $7,465.00 ","2,986.00",01-01-2014,1, January ,2014
Enterprise,France, Velo , None ,1804, $120.00 , $125.00 ," $2,25,500.00 "," $2,25,500.00 "," $2,16,480.00 ","9,020.00",01-02-2014,2, February ,2014
Channel Partners,Germany, Velo , None ,2161, $120.00 , $12.00 ," $25,932.00 "," $25,932.00 "," $6,483.00 ","19,449.00",01-03-2014,3, March ,2014
Government,Germany, Velo , None ,1006, $120.00 , $350.00 ," $3,52,100.00 "," $3,52,100.00 "," $2,61,560.00 ","90,540.00",01-06-2014,6, June ,2014
Channel Partners,Germany, Velo , None ,1545, $120.00 , $12.00 ," $18,540.00 "," $18,540.00 "," $4,635.00 ","13,905.00",01-06-2014,6, June ,2014
Enterprise,United States of America, Velo , None ,2821, $120.00 , $125.00 ," $3,52,625.00 "," $3,52,625.00 "," $3,38,520.00 ","14,105.00",01-08-2014,8, August ,2014
Enterprise,Canada, Velo , None ,345, $120.00 , $125.00 ," $43,125.00 "," $43,125.00 "," $41,400.00 ","1,725.00",01-10-2013,10, October ,2013
Small Business,Canada, VTT , None ,2001, $250.00 , $300.00 ," $6,00,300.00 "," $6,00,300.00 "," $5,00,250.00 ","1,00,050.00",01-02-2014,2, February ,2014
Channel Partners,Germany, VTT , None ,2838, $250.00 , $12.00 ," $34,056.00 "," $34,056.00 "," $8,514.00 ","25,542.00",01-04-2014,4, April ,2014
Midmarket,France, VTT , None ,2178, $250.00 , $15.00 ," $32,670.00 "," $32,670.00 "," $21,780.00 ","10,890.00",01-06-2014,6, June ,2014
Midmarket,Germany, VTT , None ,888, $250.00 , $15.00 ," $13,320.00 "," $13,320.00 "," $8,880.00 ","4,440.00",01-06-2014,6, June ,2014
Government,France, VTT , None ,1527, $250.00 , $350.00 ," $5,34,450.00 "," $5,34,450.00 "," $3,97,020.00 ","1,37,430.00",01-09-2013,9, September ,2013
Small Business,France, VTT , None ,2151, $250.00 , $300.00 ," $6,45,300.00 "," $6,45,300.00 "," $5,37,750.00 ","1,07,550.00",01-09-2014,9, September ,2014
Government,Canada, VTT , None ,1817, $250.00 , $20.00 ," $36,340.00 "," $36,340.00 "," $18,170.00 ","18,170.00",01-12-2014,12, December ,2014
Government,France, Amarilla , None ,2750, $260.00 , $350.00 ," $9,62,500.00 "," $9,62,500.00 "," $7,15,000.00 ","2,47,500.00",01-02-2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,1953, $260.00 , $12.00 ," $23,436.00 "," $23,436.00 "," $5,859.00 ","17,577.00",01-04-2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,4219.5, $260.00 , $125.00 ," $5,27,437.50 "," $5,27,437.50 "," $5,06,340.00 ","2,10,975.00",01-04-2014,4, April ,2014
Government,France, Amarilla , None ,1899, $260.00 , $20.00 ," $37,980.00 "," $37,980.00 "," $18,990.00 ","18,990.00",01-06-2014,6, June ,2014
Government,Germany, Amarilla , None ,1686, $260.00 , $7.00 ," $11,802.00 "," $11,802.00 "," $8,430.00 ","3,372.00",01-07-2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ,2141, $260.00 , $12.00 ," $25,692.00 "," $25,692.00 "," $6,423.00 ","19,269.00",01-08-2014,8, August ,2014
Government,United States of America, Amarilla , None ,1143, $260.00 , $7.00 ," $8,001.00 "," $8,001.00 "," $5,715.00 ","2,286.00",01-10-2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ,615, $260.00 , $15.00 ," $9,225.00 "," $9,225.00 "," $6,150.00 ","3,075.00",01-12-2014,12, December ,2014
Government,France, Paseo , Low ,3945, $10.00 , $7.00 ," $27,615.00 "," $27,338.85 "," $19,725.00 ","7,61,385.00",01-01-2014,1, January ,2014
Midmarket,France, Paseo , Low ,2296, $10.00 , $15.00 ," $34,440.00 "," $34,095.60 "," $22,960.00 ","1,11,356.00",01-02-2014,2, February ,2014
Government,France, Paseo , Low ,1030, $10.00 , $7.00 ," $7,210.00 "," $7,137.90 "," $5,150.00 ","19,879.00",01-05-2014,5, May ,2014
Government,France, Velo , Low ,639, $120.00 , $7.00 ," $4,473.00 "," $4,428.27 "," $3,195.00 ","1,23,327.00",01-11-2014,11, November ,2014
Government,Canada, VTT , Low ,1326, $250.00 , $7.00 ," $9,282.00 "," $9,189.18 "," $6,630.00 ","2,55,918.00",01-03-2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ,1858, $3.00 , $12.00 ," $22,296.00 "," $22,073.04 "," $5,574.00 ","16,49,904.00",01-02-2014,2, February ,2014
Government,Mexico, Carretera , Low ,1210, $3.00 , $350.00 ," $4,23,500.00 "," $4,19,265.00 "," $3,14,600.00 ","1,04,665.00",01-03-2014,3, March ,2014
Government,United States of America, Carretera , Low ,2529, $3.00 , $7.00 ," $17,703.00 "," $17,525.97 "," $12,645.00 ","4,88,097.00",01-07-2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ,1445, $3.00 , $12.00 ," $17,340.00 "," $17,166.60 "," $4,335.00 ","1,28,316.00",01-09-2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ,330, $3.00 , $125.00 ," $41,250.00 "," $40,837.50 "," $39,600.00 ","12,375.00",01-09-2013,9, September ,2013
Channel Partners,France, Carretera , Low ,2671, $3.00 , $12.00 ," $32,052.00 "," $31,731.48 "," $8,013.00 ","23,71,848.00",01-09-2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ,766, $3.00 , $12.00 ," $9,192.00 "," $9,100.08 "," $2,298.00 ","6,80,208.00",01-10-2013,10, October ,2013
Small Business,Mexico, Carretera , Low ,494, $3.00 , $300.00 ," $1,48,200.00 "," $1,46,718.00 "," $1,23,500.00 ","23,218.00",01-10-2013,10, October ,2013
Government,Mexico, Carretera , Low ,1397, $3.00 , $350.00 ," $4,88,950.00 "," $4,84,060.50 "," $3,63,220.00 ","12,08,405.00",01-10-2014,10, October ,2014
Government,France, Carretera , Low ,2155, $3.00 , $350.00 ," $7,54,250.00 "," $7,46,707.50 "," $5,60,300.00 ","18,64,075.00",01-12-2014,12, December ,2014
Midmarket,Mexico, Montana , Low ,2214, $5.00 , $15.00 ," $33,210.00 "," $32,877.90 "," $22,140.00 ","1,07,379.00",01-03-2014,3, March ,2014
Small Business,United States of America, Montana , Low ,2301, $5.00 , $300.00 ," $6,90,300.00 "," $6,83,397.00 "," $5,75,250.00 ","1,08,147.00",01-04-2014,4, April ,2014
Government,France, Montana , Low ,1375.5, $5.00 , $20.00 ," $27,510.00 "," $27,234.90 "," $13,755.00 ","1,34,799.00",01-07-2014,7, July ,2014
Government,Canada, Montana , Low ,1830, $5.00 , $7.00 ," $12,810.00 "," $12,681.90 "," $9,150.00 ","35,319.00",01-08-2014,8, August ,2014
Small Business,United States of America, Montana , Low ,2498, $5.00 , $300.00 ," $7,49,400.00 "," $7,41,906.00 "," $6,24,500.00 ","1,17,406.00",01-09-2013,9, September ,2013
Enterprise,United States of America, Montana , Low ,663, $5.00 , $125.00 ," $82,875.00 "," $82,046.25 "," $79,560.00 ","2,48,625.00",01-10-2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 "," $22,482.90 "," $15,140.00 ","73,429.00",01-02-2014,2, February ,2014
Government,United States of America, Paseo , Low ,4492.5, $10.00 , $7.00 ," $31,447.50 "," $31,133.03 "," $22,462.50 ","8,67,053.00",01-04-2014,4, April ,2014
Enterprise,United States of America, Paseo , Low ,727, $10.00 , $125.00 ," $90,875.00 "," $89,966.25 "," $87,240.00 ","2,72,625.00",01-06-2014,6, June ,2014
Enterprise,France, Paseo , Low ,787, $10.00 , $125.00 ," $98,375.00 "," $97,391.25 "," $94,440.00 ","2,95,125.00",01-06-2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,1823, $10.00 , $125.00 ," $2,27,875.00 "," $2,25,596.25 "," $2,18,760.00 ","6,83,625.00",01-07-2014,7, July ,2014
Midmarket,Germany, Paseo , Low ,747, $10.00 , $15.00 ," $11,205.00 "," $11,092.95 "," $7,470.00 ","3,62,295.00",01-09-2014,9, September ,2014
Channel Partners,Germany, Paseo , Low ,766, $10.00 , $12.00 ," $9,192.00 "," $9,100.08 "," $2,298.00 ","6,80,208.00",01-10-2013,10, October ,2013
Small Business,United States of America, Paseo , Low ,2905, $10.00 , $300.00 ," $8,71,500.00 "," $8,62,785.00 "," $7,26,250.00 ","1,36,535.00",01-11-2014,11, November ,2014
Government,France, Paseo , Low ,2155, $10.00 , $350.00 ," $7,54,250.00 "," $7,46,707.50 "," $5,60,300.00 ","18,64,075.00",01-12-2014,12, December ,2014
Government,France, Velo , Low ,3864, $120.00 , $20.00 ," $77,280.00 "," $76,507.20 "," $38,640.00 ","3,78,672.00",01-04-2014,4, April ,2014
Government,Mexico, Velo , Low ,362, $120.00 , $7.00 ," $2,534.00 "," $2,508.66 "," $1,810.00 ",69866,01-05-2014,5, May ,2014
Enterprise,Canada, Velo , Low ,923, $120.00 , $125.00 ," $1,15,375.00 "," $1,14,221.25 "," $1,10,760.00 ","3,46,125.00",01-08-2014,8, August ,2014
Enterprise,United States of America, Velo , Low ,663, $120.00 , $125.00 ," $82,875.00 "," $82,046.25 "," $79,560.00 ","2,48,625.00",01-10-2013,10, October ,2013
Government,Canada, Velo , Low ,2092, $120.00 , $7.00 ," $14,644.00 "," $14,497.56 "," $10,460.00 ","4,03,756.00",01-11-2013,11, November ,2013
Government,Germany, VTT , Low ,263, $250.00 , $7.00 ," $1,841.00 "," $1,822.59 "," $1,315.00 ",50759,01-03-2014,3, March ,2014
Government,Canada, VTT , Low ,943.5, $250.00 , $350.00 ," $3,30,225.00 "," $3,26,922.75 "," $2,45,310.00 ","81,61,275.00",01-04-2014,4, April ,2014
Enterprise,United States of America, VTT , Low ,727, $250.00 , $125.00 ," $90,875.00 "," $89,966.25 "," $87,240.00 ","2,72,625.00",01-06-2014,6, June ,2014
Enterprise,France, VTT , Low ,787, $250.00 , $125.00 ," $98,375.00 "," $97,391.25 "," $94,440.00 ","2,95,125.00",01-06-2014,6, June ,2014
Small Business,Germany, VTT , Low ,986, $250.00 , $300.00 ," $2,95,800.00 "," $2,92,842.00 "," $2,46,500.00 ","46,342.00",01-09-2014,9, September ,2014
Small Business,Mexico, VTT , Low ,494, $250.00 , $300.00 ," $1,48,200.00 "," $1,46,718.00 "," $1,23,500.00 ","23,218.00",01-10-2013,10, October ,2013
Government,Mexico, VTT , Low ,1397, $250.00 , $350.00 ," $4,88,950.00 "," $4,84,060.50 "," $3,63,220.00 ","12,08,405.00",01-10-2014,10, October ,2014
Enterprise,France, VTT , Low ,1744, $250.00 , $125.00 ," $2,18,000.00 "," $2,15,820.00 "," $2,09,280.00 ","6,540.00",01-11-2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ,1989, $260.00 , $12.00 ," $23,868.00 "," $23,629.32 "," $5,967.00 ","17,66,232.00",01-09-2013,9, September ,2013
Midmarket,France, Amarilla , Low ,321, $260.00 , $15.00 ," $4,815.00 "," $4,766.85 "," $3,210.00 ","1,55,685.00",01-11-2013,11, November ,2013
Enterprise,Canada, Carretera , Low ,742.5, $3.00 , $125.00 ," $92,812.50 "," $90,956.25 "," $89,100.00 ","1,85,625.00",01-04-2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ,1295, $3.00 , $12.00 ," $15,540.00 "," $15,229.20 "," $3,885.00 ","1,13,442.00",01-10-2014,10, October ,2014
Small Business,Germany, Carretera , Low ,214, $3.00 , $300.00 ," $64,200.00 "," $62,916.00 "," $53,500.00 ","9,416.00",01-10-2013,10, October ,2013
Government,France, Carretera , Low ,2145, $3.00 , $7.00 ," $15,015.00 "," $14,714.70 "," $10,725.00 ","39,897.00",01-11-2013,11, November ,2013
Government,Canada, Carretera , Low ,2852, $3.00 , $350.00 ," $9,98,200.00 "," $9,78,236.00 "," $7,41,520.00 ","2,36,716.00",01-12-2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ,1142, $5.00 , $12.00 ," $13,704.00 "," $13,429.92 "," $3,426.00 ","10,00,392.00",01-06-2014,6, June ,2014
Government,United States of America, Montana , Low ,1566, $5.00 , $20.00 ," $31,320.00 "," $30,693.60 "," $15,660.00 ","1,50,336.00",01-10-2014,10, October ,2014
Channel Partners,Mexico, Montana , Low ,690, $5.00 , $12.00 ," $8,280.00 "," $8,114.40 "," $2,070.00 ","60,444.00",01-11-2014,11, November ,2014
Enterprise,Mexico, Montana , Low ,1660, $5.00 , $125.00 ," $2,07,500.00 "," $2,03,350.00 "," $1,99,200.00 ","4,150.00",01-11-2013,11, November ,2013
Midmarket,Canada, Paseo , Low ,2363, $10.00 , $15.00 ," $35,445.00 "," $34,736.10 "," $23,630.00 ","1,11,061.00",01-02-2014,2, February ,2014
Small Business,France, Paseo , Low ,918, $10.00 , $300.00 ," $2,75,400.00 "," $2,69,892.00 "," $2,29,500.00 ","40,392.00",01-05-2014,5, May ,2014
Small Business,Germany, Paseo , Low ,1728, $10.00 , $300.00 ," $5,18,400.00 "," $5,08,032.00 "," $4,32,000.00 ","76,032.00",01-05-2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ,1142, $10.00 , $12.00 ," $13,704.00 "," $13,429.92 "," $3,426.00 ","10,00,392.00",01-06-2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,662, $10.00 , $125.00 ," $82,750.00 "," $81,095.00 "," $79,440.00 ","1,655.00",01-06-2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ,1295, $10.00 , $12.00 ," $15,540.00 "," $15,229.20 "," $3,885.00 ","1,13,442.00",01-10-2014,10, October ,2014
Enterprise,Germany, Paseo , Low ,809, $10.00 , $125.00 ," $1,01,125.00 "," $99,102.50 "," $97,080.00 ","20,225.00",01-10-2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ,2145, $10.00 , $125.00 ," $2,68,125.00 "," $2,62,762.50 "," $2,57,400.00 ","53,625.00",01-10-2013,10, October ,2013
Channel Partners,France, Paseo , Low ,1785, $10.00 , $12.00 ," $21,420.00 "," $20,991.60 "," $5,355.00 ","1,56,366.00",01-11-2013,11, November ,2013
Small Business,Canada, Paseo , Low ,1916, $10.00 , $300.00 ," $5,74,800.00 "," $5,63,304.00 "," $4,79,000.00 ","84,304.00",01-12-2014,12, December ,2014
Government,Canada, Paseo , Low ,2852, $10.00 , $350.00 ," $9,98,200.00 "," $9,78,236.00 "," $7,41,520.00 ","2,36,716.00",01-12-2014,12, December ,2014
Enterprise,Canada, Paseo , Low ,2729, $10.00 , $125.00 ," $3,41,125.00 "," $3,34,302.50 "," $3,27,480.00 ","68,225.00",01-12-2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ,1925, $10.00 , $15.00 ," $28,875.00 "," $28,297.50 "," $19,250.00 ","90,475.00",01-12-2013,12, December ,2013
Government,United States of America, Paseo , Low ,2013, $10.00 , $7.00 ," $14,091.00 "," $13,809.18 "," $10,065.00 ","3,74,418.00",01-12-2013,12, December ,2013
Channel Partners,France, Paseo , Low ,1055, $10.00 , $12.00 ," $12,660.00 "," $12,406.80 "," $3,165.00 ","92,418.00",01-12-2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ,1084, $10.00 , $12.00 ," $13,008.00 "," $12,747.84 "," $3,252.00 ","9,49,584.00",01-12-2014,12, December ,2014
Government,United States of America, Velo , Low ,1566, $120.00 , $20.00 ," $31,320.00 "," $30,693.60 "," $15,660.00 ","1,50,336.00",01-10-2014,10, October ,2014
Government,Germany, Velo , Low ,2966, $120.00 , $350.00 ," $10,38,100.00 "," $10,17,338.00 "," $7,71,160.00 ","2,46,178.00",01-10-2013,10, October ,2013
Government,Germany, Velo , Low ,2877, $120.00 , $350.00 ," $10,06,950.00 "," $9,86,811.00 "," $7,48,020.00 ","2,38,791.00",01-10-2014,10, October ,2014
Enterprise,Germany, Velo , Low ,809, $120.00 , $125.00 ," $1,01,125.00 "," $99,102.50 "," $97,080.00 ","20,225.00",01-10-2013,10, October ,2013
Enterprise,Mexico, Velo , Low ,2145, $120.00 , $125.00 ," $2,68,125.00 "," $2,62,762.50 "," $2,57,400.00 ","53,625.00",01-10-2013,10, October ,2013
Channel Partners,France, Velo , Low ,1055, $120.00 , $12.00 ," $12,660.00 "," $12,406.80 "," $3,165.00 ","92,418.00",01-12-2014,12, December ,2014
Government,Mexico, Velo , Low ,544, $120.00 , $20.00 ," $10,880.00 "," $10,662.40 "," $5,440.00 ","52,224.00",01-12-2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ,1084, $120.00 , $12.00 ," $13,008.00 "," $12,747.84 "," $3,252.00 ","9,49,584.00",01-12-2014,12, December ,2014
Enterprise,Mexico, VTT , Low ,662, $250.00 , $125.00 ," $82,750.00 "," $81,095.00 "," $79,440.00 ","1,655.00",01-06-2014,6, June ,2014
Small Business,Germany, VTT , Low ,214, $250.00 , $300.00 ," $64,200.00 "," $62,916.00 "," $53,500.00 ","9,416.00",01-10-2013,10, October ,2013
Government,Germany, VTT , Low ,2877, $250.00 , $350.00 ," $10,06,950.00 "," $9,86,811.00 "," $7,48,020.00 ","2,38,791.00",01-10-2014,10, October ,2014
Enterprise,Canada, VTT , Low ,2729, $250.00 , $125.00 ," $3,41,125.00 "," $3,34,302.50 "," $3,27,480.00 ","68,225.00",01-12-2014,12, December ,2014
Government,United States of America, VTT , Low ,266, $250.00 , $350.00 ," $93,100.00 "," $91,238.00 "," $69,160.00 ","22,078.00",01-12-2013,12, December ,2013
Government,Mexico, VTT , Low ,1940, $250.00 , $350.00 ," $6,79,000.00 "," $6,65,420.00 "," $5,04,400.00 ","1,61,020.00",01-12-2013,12, December ,2013
Small Business,Germany, Amarilla , Low ,259, $260.00 , $300.00 ," $77,700.00 "," $76,146.00 "," $64,750.00 ","11,396.00",01-03-2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ,1101, $260.00 , $300.00 ," $3,30,300.00 "," $3,23,694.00 "," $2,75,250.00 ","48,444.00",01-03-2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ,2276, $260.00 , $125.00 ," $2,84,500.00 "," $2,78,810.00 "," $2,73,120.00 ","5,690.00",01-05-2014,5, May ,2014
Government,Germany, Amarilla , Low ,2966, $260.00 , $350.00 ," $10,38,100.00 "," $10,17,338.00 "," $7,71,160.00 ","2,46,178.00",01-10-2013,10, October ,2013
Government,United States of America, Amarilla , Low ,1236, $260.00 , $20.00 ," $24,720.00 "," $24,225.60 "," $12,360.00 ","1,18,656.00",01-11-2014,11, November ,2014
Government,France, Amarilla , Low ,941, $260.00 , $20.00 ," $18,820.00 "," $18,443.60 "," $9,410.00 ","90,336.00",01-11-2014,11, November ,2014
Small Business,Canada, Amarilla , Low ,1916, $260.00 , $300.00 ," $5,74,800.00 "," $5,63,304.00 "," $4,79,000.00 ","84,304.00",01-12-2014,12, December ,2014
Enterprise,France, Carretera , Low ,4243.5, $3.00 , $125.00 ," $5,30,437.50 "," $5,14,524.38 "," $5,09,220.00 ","5,30,438.00",01-04-2014,4, April ,2014
Government,Germany, Carretera , Low ,2580, $3.00 , $20.00 ," $51,600.00 "," $50,052.00 "," $25,800.00 ","24,252.00",01-04-2014,4, April ,2014
Small Business,Germany, Carretera , Low ,689, $3.00 , $300.00 ," $2,06,700.00 "," $2,00,499.00 "," $1,72,250.00 ","28,249.00",01-06-2014,6, June ,2014
Channel Partners,United States of America, Carretera , Low ,1947, $3.00 , $12.00 ," $23,364.00 "," $22,663.08 "," $5,841.00 ","16,82,208.00",01-09-2014,9, September ,2014
Channel Partners,Canada, Carretera , Low ,908, $3.00 , $12.00 ," $10,896.00 "," $10,569.12 "," $2,724.00 ","7,84,512.00",01-12-2013,12, December ,2013
Government,Germany, Montana , Low ,1958, $5.00 , $7.00 ," $13,706.00 "," $13,294.82 "," $9,790.00 ","3,50,482.00",01-02-2014,2, February ,2014
Channel Partners,France, Montana , Low ,1901, $5.00 , $12.00 ," $22,812.00 "," $22,127.64 "," $5,703.00 ","16,42,464.00",01-06-2014,6, June ,2014
Government,France, Montana , Low ,544, $5.00 , $7.00 ," $3,808.00 "," $3,693.76 "," $2,720.00 ",97376,01-09-2014,9, September ,2014
Government,Germany, Montana , Low ,1797, $5.00 , $350.00 ," $6,28,950.00 "," $6,10,081.50 "," $4,67,220.00 ","14,28,615.00",01-09-2013,9, September ,2013
Enterprise,France, Montana , Low ,1287, $5.00 , $125.00 ," $1,60,875.00 "," $1,56,048.75 "," $1,54,440.00 ","1,60,875.00",01-12-2014,12, December ,2014
Enterprise,Germany, Montana , Low ,1706, $5.00 , $125.00 ," $2,13,250.00 "," $2,06,852.50 "," $2,04,720.00 ","21,325.00",01-12-2014,12, December ,2014
Small Business,France, Paseo , Low ,2434.5, $10.00 , $300.00 ," $7,30,350.00 "," $7,08,439.50 "," $6,08,625.00 ","9,98,145.00",01-01-2014,1, January ,2014
Enterprise,Canada, Paseo , Low ,1774, $10.00 , $125.00 ," $2,21,750.00 "," $2,15,097.50 "," $2,12,880.00 ","22,175.00",01-03-2014,3, March ,2014
Channel Partners,France, Paseo , Low ,1901, $10.00 , $12.00 ," $22,812.00 "," $22,127.64 "," $5,703.00 ","16,42,464.00",01-06-2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689, $10.00 , $300.00 ," $2,06,700.00 "," $2,00,499.00 "," $1,72,250.00 ","28,249.00",01-06-2014,6, June ,2014
Enterprise,Germany, Paseo , Low ,1570, $10.00 , $125.00 ," $1,96,250.00 "," $1,90,362.50 "," $1,88,400.00 ","19,625.00",01-06-2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5, $10.00 , $12.00 ," $16,434.00 "," $15,940.98 "," $4,108.50 ","11,83,248.00",01-07-2014,7, July ,2014
Enterprise,Canada, Paseo , Low ,2009, $10.00 , $125.00 ," $2,51,125.00 "," $2,43,591.25 "," $2,41,080.00 ","2,51,125.00",01-10-2014,10, October ,2014
Midmarket,Germany, Paseo , Low ,1945, $10.00 , $15.00 ," $29,175.00 "," $28,299.75 "," $19,450.00 ","8,84,975.00",01-10-2013,10, October ,2013
Enterprise,France, Paseo , Low ,1287, $10.00 , $125.00 ," $1,60,875.00 "," $1,56,048.75 "," $1,54,440.00 ","1,60,875.00",01-12-2014,12, December ,2014
